Game ID,Hebrew Title,English Title,Category,Min Age,Max Age,Rounds,Endless,Difficulty Range,Gameplay Description,Interaction Type,Background/Visual Style,Difficulty Level 1-3,Difficulty Level 4-6,Difficulty Level 7-10,Analytics Collected,What It Teaches The Child,What We Can Learn About The Child,Learning Domain,Motor Skills Required,Cognitive Skills Required,Age 2 Baseline,Age 3 Baseline,Age 4 Baseline,Age 5 Baseline,Notes
memory,זיכרון,Memory Game,Animals,2,8,1,No,1-10 (4-24 cards),"Child flips cards to find matching animal pairs. Two matching cards stay revealed. Game ends when all pairs found.",Tap,"Animal sprites on card backs, random rotation ±3° per card, mismatch delay 0.8s","4 cards (2 pairs), 4×1 grid","8-12 cards (4-6 pairs), 4×2 or 6×2 grid","16-24 cards (8-12 pairs), 8×2 or 8×3 grid","RecordCorrect(""match""), RecordMistake(""mismatch""), SetCustom(""pairsMatched""), SetCustom(""pairsTotal"")",Short-term memory; visual recall; animal recognition,"Memory capacity (how many pairs before mistakes); speed of recall; which animals are hardest to remember; pattern of mistakes (random vs systematic)",Memory & Recall,Fine motor (tap precision),Visual memory; spatial memory; concentration,4 cards,8 cards,16 cards,24 cards,Landscape orientation; cards have idle animations
puzzle,פאזל,Puzzle Game,Animals,2,8,1,No,1-10 (4-25 pieces),"Child drags puzzle pieces from left panel onto correct slots on right board. Pieces snap when placed correctly. Reference image visible at 25% alpha.",Drag & Drop,"Split screen: left=pieces, right=board. Warm sandy slot color (#C4B29F, 30% opacity), grid overlay","2×2 grid (4 pieces)","3×3 grid (9 pieces)","4×4 grid (16 pieces) to 5×5 (25 pieces)","RecordCorrect() per piece, SetCustom(""piecesPlaced""), SetCustom(""totalPieces"")",Spatial reasoning; shape matching; fine motor control; problem solving,"Spatial ability (how quickly pieces are placed); trial-and-error patterns; fine motor precision (drag accuracy); persistence (time to complete)",Spatial Reasoning,Fine motor (drag precision),Spatial awareness; shape recognition; problem decomposition,4 pieces,9 pieces,16 pieces,25 pieces,Animal puzzle images from Art/Animals/Puzzle folder
coloring,צביעה,Coloring Game,Creative,2,8,Unlimited,Yes,Mode by age,"Two modes: Brush Mode (ages 5+) = free drawing with 3 brush sizes + stickers + eraser. Area Fill Mode (ages 2-4) = tap regions to fill with color. Pre-built coloring pages or gallery upload.",Tap / Draw,"12 palette colors, 1024×1024 canvas, outline overlay for coloring pages",Area Fill only (ages 2-4): tap color then tap shape region,Brush mode: free drawing with brush sizes 12/24/40px,Full brush mode + stickers + eraser + undo,"RecordCorrect() on save drawing, fill count in area fill mode",Creativity; color recognition; fine motor skills; self-expression,"Color preferences (which colors used most); motor control (stroke quality); creativity level (variety of marks); attention span (time spent)",Creativity & Expression,Fine motor (drawing/tapping),Color recognition; spatial awareness; creative thinking,Available (area fill),Available (area fill),Available (brush or fill via settings),Available (brush mode),Excluded from Journey mode; mode configurable in parent dashboard
connectthedots,חבר את הנקודות,Connect The Dots,Shapes,3,8,Unlimited,Yes,Tier 0-2,"Child drags through numbered dots (1→2→3→...) to draw a constellation-style shape. Shape closes when returning to dot 1. Night sky aesthetic.",Drag,"Night sky gradient, warm constellation lines (#FFF5BF), glowing star-like dots","Tier 0: Simple shapes (triangle, square, flower) — 3-5 dots","Tier 1: Medium shapes (star, heart, house) — 5-8 dots","Tier 2: Complex shapes — 8-10 dots, animal silhouettes","RecordCorrect() on shape completion, playWinSound=true",Sequential ordering; number sequencing; shape recognition; fine motor control,"Number familiarity (speed of finding next number); motor control (path accuracy); shape recognition ability",Sequencing & Numbers,Fine motor (drag along path),Sequential thinking; number recognition; shape awareness,Not available,Simple shapes,Medium shapes,Complex shapes,Animal silhouettes auto-generated from sprites; 8 fallback shapes
shadows,התאם את הצל,Shadow Match,Animals,2,8,Unlimited,Yes,Fixed (4 animals),"4 animal silhouettes on top, 4 draggable colored animals on bottom. Child drags each animal to its matching shadow. One-to-one matching.",Drag & Drop,"Silhouettes in dark color (#0F0F2E, 90% opacity), proximity hints pulse when animal dragged nearby",Fixed: 4 animals per round,Fixed: 4 animals per round,Fixed: 4 animals per round,"RecordCorrect() per match, SetCustom(""matchedCount"")",Shape recognition; animal identification; visual matching,"Shape matching ability; visual discrimination; motor precision; speed of recognition",Visual Perception,Fine motor (drag),Shape matching; visual discrimination; animal knowledge,Available,Available,Available,Available,hasSubItems=true required for Journey mode; silhouettes use custom shader
findtheanimal,מצא את החיה,Find The Animal,Animals,3,8,Unlimited,Yes,Tier Easy/Medium/Hard,"12 animals placed across 3 depth zones in scenic world. Child must find 3-6 target animals. Strict grid prevents overlap. Hints after 3.5s inactivity.",Tap,"Landscape world with sky gradient, ground, grass, clouds, decorations (trees, houses). 5 sky + 5 ground color variations.","Easy tier: Large animals (Elephant, Giraffe, Horse, Cow, Lion)","Medium tier: Medium animals (Dog, Cat, Sheep, Monkey, Donkey, Bear, Zebra)","Hard tier: Small animals (Chicken, Duck, Bird, Fish, Frog, Snake, Turtle)","SetCustom(""targetsFound""), plays correct effect per find",Visual searching; patience; animal recognition; attention to detail,"Visual scanning ability; patience level; attention to detail; recognition speed; which animals are hardest to find",Visual Perception,Basic tap,Visual scanning; sustained attention; categorization,Not available,Available,Available,Available,hasSubItems=true; animal scale varies 0.88-1.3x per species
quantitymatch,התאם כמות,Quantity Match,Numbers,2,8,5,No,1-10 (range 1-8),"Shows target number at top, 4 animal-group tiles at bottom. Child taps tile whose animal count matches target. 5 rounds total.",Tap,"4 rounded-rect tiles with animals, pop-in animation, inactivity hints","Targets 1-3, distractors ±3 spread","Targets 2-5, distractors ±2 spread","Targets 4-8, distractors ±2 spread","RecordCorrect(), SetCustom(""targetNumber""), SetCustom(""attemptsThisRound"")",Counting; number recognition; quantity comparison,"Counting accuracy; number recognition speed; which quantities are hardest; comparison ability",Numbers & Counting,Basic tap,Counting; number comparison; visual estimation,1-3 range,1-3 range,Up to 5,Up to 8,
colormixing,ערבוב צבעים,Color Mixing,Colors,3,8,Unlimited,Yes,Fixed (5 combos),"Tap colors from palette (R/B/Y/W) to fill containers. Containers pour into mixing vessel. Liquid swirls and settles to result color. 5 combinations: R+Y=Orange, B+Y=Green, R+B=Purple, R+W=Pink, B+W=LightBlue.",Tap,"Interactive containers with fill levels, glow effects, target color circle",Fixed: 5 color combinations,Fixed: 5 color combinations,Fixed: 5 color combinations,"RecordCorrect() on successful mix, target pulses for hint",Color theory; cause-and-effect; observation; prediction,"Understanding of color relationships; prediction ability; experimental thinking",Colors & Science,Basic tap,Color knowledge; cause-effect reasoning; prediction,Not available,Available,Available,Available,
ballmaze,מבוך הכדור,Ball Maze,Physics,3,8,Unlimited,Yes,Procedural (3 tiers),"Child drags ball across wooden board navigating obstacles and rotating blockers. Physics-based with inertia and bounce. Timed past rotating barriers.",Drag,"Wooden board with frame, ball shadow, rotating blockers. Cream table (#E8DFCF), wood frame (#C29E6B)","Levels 0-1: Easy (few obstacles, slow blockers)","Levels 2-3: Medium (more obstacles, faster)","Levels 4+: Hard (complex paths, fast blockers)","Physics-driven gameplay, no explicit stats",Physics understanding; timing; spatial navigation; patience,"Motor control precision; timing ability; spatial planning; persistence with physics challenges",Physics & Motor,Fine motor (continuous drag),Spatial reasoning; timing; physics intuition,Not available,Available,Available,Available,Follow speed 18px/s; friction 8px/s²; max speed 1200px/s
towerbuilder,בנה את המגדל,Tower Builder,Patterns,2,8,1,No,Tier 0-3,"Reference tower shown on left, silhouette slots on right. Child drags colored bricks from palette to match reference. Support graph enforces build order (bottom-up).",Drag & Drop,"Split screen: left=reference (colored), right=build area (silhouettes), bottom=palette. Ground platform.","Easy: 3-4 bricks","Medium: 6-8 bricks","Hard: 10-15 bricks","SetCustom per brick, wrong attempt tracking",Spatial reasoning; color/pattern matching; logical sequencing; planning,"Pattern matching ability; sequencing logic; color recognition; planning approach (bottom-up vs random attempts)",Patterns & Logic,Fine motor (drag),Pattern matching; sequential logic; color recognition,Available,Available,Available,Available,Support graph prevents placing upper bricks before lower ones
